year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2023,8,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",89.0,13.0,2.25,1.6,3.16,0.0,5.99,2.0,1.0,1375.0,71.0,761.0,118.0,0.0,425.0
2023,8,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",62.0,10.0,1.97,0.04,0.57,0.0,7.42,0.0,1.0,799.0,218.0,1.0,62.0,0.0,518.0
2023,8,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",62.0,10.0,2.73,1.18,1.8,0.0,4.28,1.0,0.0,766.0,56.0,188.0,78.0,0.0,444.0
2023,8,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",66.0,12.0,3.69,2.27,4.47,0.0,1.57,1.0,1.0,1397.0,471.0,320.0,388.0,0.0,218.0
2023,8,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",92.0,22.0,7.76,0.0,2.96,0.0,11.28,2.0,0.0,1530.0,628.0,0.0,134.0,0.0,768.0
2023,8,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1636.0,256.0,55.98,27.81,63.64,0.0,108.57,32.0,11.0,29768.0,9339.0,4557.0,4676.0,0.0,11196.0
2023,8,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",75.0,12.0,5.62,0.97,4.41,0.0,1.0,0.0,0.0,843.0,535.0,170.0,111.0,0.0,27.0
2023,8,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",59.0,7.0,3.32,0.0,0.42,0.0,3.26,2.0,0.0,324.0,117.0,0.0,25.0,0.0,182.0
2023,8,9E,Endeavor Air Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",62.0,13.0,6.53,0.94,3.54,0.0,1.99,0.0,0.0,707.0,470.0,77.0,87.0,0.0,73.0
2023,8,9E,Endeavor Air Inc.,BDL,"Hartford, CT: Bradley International",30.0,4.0,0.0,0.82,0.0,0.0,3.18,1.0,0.0,1421.0,0.0,532.0,0.0,0.0,889.0
2023,8,9E,Endeavor Air Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",58.0,10.0,2.78,0.0,3.18,0.0,4.03,1.0,0.0,1604.0,207.0,0.0,1049.0,0.0,348.0
2023,8,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",124.0,13.0,8.42,1.0,0.5,0.0,3.08,3.0,0.0,1207.0,282.0,650.0,18.0,0.0,257.0
2023,8,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",84.0,17.0,4.11,0.0,4.24,0.0,8.65,2.0,2.0,1124.0,208.0,0.0,164.0,0.0,752.0
2023,8,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",166.0,25.0,6.02,2.91,11.4,0.0,4.68,2.0,0.0,1465.0,362.0,308.0,523.0,0.0,272.0
2023,8,9E,Endeavor Air Inc.,BQK,"Brunswick, GA: Brunswick Golden Isles",62.0,14.0,7.46,0.2,3.1,0.0,3.24,2.0,2.0,2641.0,1238.0,184.0,771.0,0.0,448.0
2023,8,9E,Endeavor Air Inc.,BTV,"Burlington, VT: Burlington International",147.0,30.0,11.85,0.0,11.0,0.0,7.16,3.0,0.0,1628.0,714.0,0.0,324.0,0.0,590.0
2023,8,9E,Endeavor Air Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",154.0,25.0,7.96,0.0,10.66,0.0,6.38,2.0,0.0,1065.0,289.0,0.0,448.0,0.0,328.0
2023,8,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",62.0,13.0,1.92,0.0,3.82,0.2,7.05,2.0,0.0,900.0,89.0,0.0,203.0,28.0,580.0
2023,8,9E,Endeavor Air Inc.,CAE,"Columbia, SC: Columbia Metropolitan",92.0,20.0,3.74,0.0,9.41,0.0,6.85,1.0,0.0,1375.0,398.0,0.0,448.0,0.0,529.0
2023,8,9E,Endeavor Air Inc.,CHA,"Chattanooga, TN: Lovell Field",119.0,17.0,5.23,3.1,1.96,0.0,6.71,1.0,0.0,1108.0,341.0,174.0,82.0,0.0,511.0
2023,8,9E,Endeavor Air Inc.,CHO,"Charlottesville, VA: Charlottesville Albemarle",139.0,17.0,4.17,2.6,6.67,0.0,3.55,2.0,1.0,891.0,226.0,118.0,348.0,0.0,199.0
2023,8,9E,Endeavor Air Inc.,CHS,"Charleston, SC: Charleston AFB/International",137.0,16.0,4.88,0.41,5.35,0.0,5.35,4.0,0.0,935.0,322.0,12.0,330.0,0.0,271.0
2023,8,9E,Endeavor Air Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",323.0,62.0,24.42,3.4,8.65,0.0,25.53,6.0,3.0,4601.0,1792.0,851.0,304.0,0.0,1654.0
2023,8,9E,Endeavor Air Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",232.0,38.0,9.94,1.0,13.46,0.0,13.6,9.0,1.0,2617.0,752.0,49.0,753.0,0.0,1063.0
2023,8,9E,Endeavor Air Inc.,CMH,"Columbus, OH: John Glenn Columbus International",99.0,15.0,5.5,1.0,3.79,0.0,4.71,2.0,0.0,971.0,275.0,23.0,109.0,0.0,564.0
2023,8,9E,Endeavor Air Inc.,CRW,"Charleston/Dunbar, WV: West Virginia International Yeager",5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,8,9E,Endeavor Air Inc.,CSG,"Columbus, GA: Columbus Airport",79.0,10.0,2.12,1.69,0.35,0.0,5.84,2.0,0.0,1280.0,828.0,59.0,17.0,0.0,376.0
2023,8,9E,Endeavor Air Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",637.0,109.0,29.44,3.89,28.21,0.0,47.45,8.0,0.0,8481.0,2548.0,122.0,1248.0,0.0,4563.0
2023,8,9E,Endeavor Air Inc.,CWA,"Mosinee, WI: Central Wisconsin",62.0,12.0,4.59,0.0,0.2,0.0,7.21,0.0,0.0,878.0,460.0,0.0,5.0,0.0,413.0
2023,8,9E,Endeavor Air Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",27.0,5.0,1.08,0.0,2.14,0.0,1.77,0.0,0.0,418.0,92.0,0.0,118.0,0.0,208.0
2023,8,9E,Endeavor Air Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",205.0,29.0,8.52,0.57,11.44,0.0,8.48,3.0,0.0,2886.0,749.0,46.0,1240.0,0.0,851.0
2023,8,9E,Endeavor Air Inc.,DHN,"Dothan, AL: Dothan Regional",62.0,11.0,2.0,0.0,7.29,0.0,1.71,0.0,0.0,456.0,43.0,0.0,316.0,0.0,97.0
2023,8,9E,Endeavor Air Inc.,DLH,"Duluth, MN: Duluth International",55.0,2.0,0.19,0.0,0.07,0.0,1.74,0.0,0.0,153.0,8.0,0.0,3.0,0.0,142.0
2023,8,9E,Endeavor Air Inc.,DSM,"Des Moines, IA: Des Moines International",218.0,52.0,18.56,0.0,10.92,0.0,22.52,1.0,0.0,3728.0,1539.0,0.0,646.0,0.0,1543.0
2023,8,9E,Endeavor Air Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",1607.0,262.0,61.84,13.84,58.28,0.0,128.03,19.0,5.0,24485.0,6954.0,1146.0,4936.0,0.0,11449.0
2023,8,9E,Endeavor Air Inc.,EVV,"Evansville, IN: Evansville Regional",79.0,14.0,4.58,2.0,4.39,0.0,3.03,1.0,0.0,1105.0,762.0,64.0,111.0,0.0,168.0
2023,8,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International",150.0,21.0,9.7,0.0,4.91,0.0,6.38,2.0,0.0,1264.0,620.0,0.0,237.0,0.0,407.0
2023,8,9E,Endeavor Air Inc.,FAR,"Fargo, ND: Hector International",58.0,6.0,1.93,0.0,0.07,0.0,4.0,1.0,0.0,309.0,180.0,0.0,3.0,0.0,126.0
2023,8,9E,Endeavor Air Inc.,FAY,"Fayetteville, NC: Fayetteville Regional/Grannis Field",31.0,7.0,3.0,1.2,1.12,0.0,1.68,0.0,1.0,718.0,204.0,61.0,78.0,0.0,375.0
2023,8,9E,Endeavor Air Inc.,FSD,"Sioux Falls, SD: Joe Foss Field",53.0,20.0,11.59,1.0,0.8,0.0,6.62,0.0,0.0,1382.0,653.0,32.0,54.0,0.0,643.0
2023,8,9E,Endeavor Air Inc.,GFK,"Grand Forks, ND: Grand Forks International",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,8,9E,Endeavor Air Inc.,GRR,"Grand Rapids, MI: Gerald R. Ford International",149.0,18.0,5.43,0.93,2.2,0.0,9.43,1.0,0.0,1427.0,525.0,28.0,147.0,0.0,727.0
2023,8,9E,Endeavor Air Inc.,GSO,"Greensboro/High Point, NC: Piedmont Triad International",166.0,14.0,6.46,0.0,5.1,0.0,2.44,1.0,1.0,1282.0,912.0,0.0,178.0,0.0,192.0
2023,8,9E,Endeavor Air Inc.,GSP,"Greer, SC: Greenville-Spartanburg International",104.0,19.0,6.67,1.0,4.76,0.0,6.57,2.0,0.0,1141.0,582.0,37.0,126.0,0.0,396.0
2023,8,9E,Endeavor Air Inc.,GTR,"Columbus, MS: Golden Triangle Regional",57.0,13.0,5.29,0.0,2.7,0.0,5.01,2.0,0.0,1063.0,451.0,0.0,102.0,0.0,510.0
2023,8,9E,Endeavor Air Inc.,IAD,"Washington, DC: Washington Dulles International",36.0,4.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,168.0,28.0,0.0,19.0,0.0,121.0
2023,8,9E,Endeavor Air Inc.,ILM,"Wilmington, NC: Wilmington International",147.0,32.0,11.26,0.52,8.83,0.0,11.38,6.0,0.0,1805.0,695.0,55.0,439.0,0.0,616.0
2023,8,9E,Endeavor Air Inc.,IND,"Indianapolis, IN: Indianapolis International",282.0,43.0,18.59,1.0,8.03,0.0,15.37,6.0,0.0,3208.0,1222.0,15.0,356.0,0.0,1615.0
2023,8,9E,Endeavor Air Inc.,ITH,"Ithaca/Cortland, NY: Ithaca Tompkins International",62.0,17.0,4.98,1.76,6.86,0.0,3.39,1.0,0.0,1671.0,256.0,898.0,273.0,0.0,244.0
2023,8,9E,Endeavor Air Inc.,JAX,"Jacksonville, FL: Jacksonville International",85.0,14.0,6.54,0.0,4.4,0.0,3.06,5.0,0.0,754.0,445.0,0.0,118.0,0.0,191.0
